	Family	Genus	Sample	Nuccore_id	CP_accession	Nano_CP_Nuccore_ids
AIK28884	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 6	673539353	AIK28883	
AIY31246	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611813	AIY31247	
AIY31248	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611816	AIY31249	
AIY31250	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611819	AIY31252	
AIY31259	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611831	AIY31260	
AJF23082	Smacoviridae	Porprismacovirus	Black howler monkey smacovirus	749502799	AJF23081	
AJF23083	Smacoviridae	Porprismacovirus	Chimpanzee smacovirus	749502802	AJF23084	
AJF23086	Smacoviridae	Porprismacovirus	Gorilla smacovirus	749502805	AJF23085	
AJF23088	Smacoviridae	Porprismacovirus	Gorilla smacovirus	749502808	AJF23087	
AJF23092	Smacoviridae	Porprismacovirus	Lemur smacovirus	749502814	AJF23091	
AKV57233	Smacoviridae	Porprismacovirus	Rat stool-associated circular ssDNA virus	914293728	AKV57234	
AMR73071	Smacoviridae	Porprismacovirus	Human feces smacovirus 2	1010921595	AMR73070	
ANC51523	Smacoviridae	Porprismacovirus	Bovine faeces associated smacovirus 2	1025711616	ANC51524	
ANC51526	Smacoviridae	Porprismacovirus	Sheep faeces associated smacovirus 3	1025711619	ANC51525	
ANC51527	Smacoviridae	Porprismacovirus	Sheep faeces associated smacovirus 1	1025711622	ANC51528	
ANC51530	Smacoviridae	Porprismacovirus	Sheep faeces associated smacovirus 2	1025711625	ANC51529	
ANC51538	Smacoviridae	Porprismacovirus	Porcine faeces associated smacovirus 1	1025711637	ANC51537	
